No.,Ref,Material 1,Formula,MagpieData mean Number,MagpieData mean Electronegativity,MagpieData mean AtomicRadius,MagpieData mean CovalentRadius,MagpieData mean Density,MagpieData mean Row,MagpieData mean Column,size (nm),Shape,Synthesis Method,zeta potential,bacteria,gram stain,motility,Oxygen Requirement,Shape.1,Arrangement,duration,temperature,MIC (ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂµg/mL),MIC_class,MIC_pred (ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂµg/mL),MIC_pred (ÃÂÃÂÃÂÃÂµg/mL),MIC_pred (ÃÂÃÂµg/mL),MBC_pred (ÃÂµg/mL),MBC_pred (Âµg/mL),MBC_pred (µg/mL)
15,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,113.94979,1.9535463,76.49735,38.07057,484.9947
16,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,42.54124,23.512518,84.74132,61.265385,491.46338
17,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,52.034584,15.770884,92.20315,42.49346,670.36896
18,,Ag,Ag,47,1.93,1.6,145,10490,5,11,1,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,32.267635,6.85851,76.49735,40.51892,484.9947
19,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,70.44735,55.640484,110.12334,99.80487,80.50968,491.46338
20,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,45.03403,97.89357,94.752174,63.477425,670.36896
21,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,34.33979,98.93192,90.817116,62.55388,484.9947
22,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.846637,85.17726,18.607561,84.74132,58.81705,491.46338
23,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,138.92503,30.464426,92.20315,40.045113,670.36896
24,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,113.94979,1.9535463,76.49735,38.07057,484.9947
25,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,42.54124,23.512518,84.74132,61.265385,491.46338
26,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,52.034584,15.770884,92.20315,42.49346,670.36896
27,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,32.267635,6.85851,76.49735,40.51892,484.9947
28,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,70.44735,53.907078,110.12334,99.80487,80.50968,491.46338
29,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,43.27907,97.89357,94.752174,63.477425,670.36896
30,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,32.58483,98.93192,90.817116,62.55388,484.9947
31,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.846637,85.17726,18.607561,84.74132,58.81705,491.46338
32,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,138.92503,30.464426,92.20315,40.045113,670.36896
33,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,113.94979,1.9535463,76.49735,38.07057,484.9947
34,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,41.02407,23.512518,84.74132,61.265385,491.46338
35,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,50.49585,15.770884,92.20315,42.49346,670.36896
36,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,30.728907,6.85851,76.49735,40.51892,484.9947
37,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,70.44735,53.907078,114.56168,99.80487,80.50968,491.46338
38,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,43.27907,102.33192,94.752174,63.477425,670.36896
39,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,32.58483,103.37027,90.817116,62.55388,484.9947
40,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.846637,85.17726,23.045904,84.74132,58.81705,491.46338
41,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,138.92503,34.902767,92.20315,40.045113,670.36896
42,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,113.94979,6.3918905,76.49735,38.07057,484.9947
43,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,41.02407,27.950861,84.74132,61.265385,491.46338
44,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,50.49585,20.209225,92.20315,42.49346,670.36896
45,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,30.728907,11.296855,76.49735,40.51892,484.9947
46,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,70.44735,53.907078,114.56168,99.80487,80.50968,491.46338
47,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,43.27907,102.33192,94.752174,63.477425,670.36896
48,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,32.58483,103.37027,90.817116,62.55388,484.9947
49,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.846637,85.17726,23.045904,84.74132,58.81705,491.46338
50,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,138.92503,34.902767,92.20315,40.045113,670.36896
51,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,113.94979,6.3918905,76.49735,38.07057,484.9947
52,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,41.02407,27.950861,84.74132,61.265385,491.46338
53,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,50.49585,20.209225,92.20315,42.49346,670.36896
54,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,30.728907,11.296855,76.49735,40.51892,484.9947
55,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,70.44735,53.907078,114.56168,99.80487,80.50968,491.46338
56,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,43.27907,102.33192,94.752174,63.477425,670.36896
57,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,32.58483,103.37027,90.817116,62.55388,484.9947
58,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.846637,85.17726,23.045904,84.74132,58.81705,491.46338
59,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,138.92503,34.902767,92.20315,40.045113,670.36896
60,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,113.94979,6.3918905,76.49735,38.07057,484.9947
61,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,41.02407,27.950861,84.74132,61.265385,491.46338
62,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,50.49585,20.209225,92.20315,42.49346,670.36896
63,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,30.728907,11.296855,76.49735,40.51892,484.9947
64,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,70.44735,52.802383,114.56168,99.80487,80.50968,491.46338
65,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,42.299557,102.33192,94.752174,63.477425,691.1555
66,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.232586,31.338253,103.37027,90.817116,62.55388,484.9947
67,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.846637,84.38116,23.045904,84.74132,58.81705,491.46338
68,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,138.11488,34.902767,92.20315,40.045113,691.1555
69,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.905068,113.0118,6.3918905,76.49735,38.07057,484.9947
70,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,40.153645,27.950861,84.74132,61.265385,491.46338
71,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,49.6114,20.209225,92.20315,42.49346,691.1555
72,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.154999,29.716599,11.296855,76.49735,40.51892,484.9947
73,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,70.44735,52.852333,114.56168,99.80487,80.50968,491.46338
74,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.210445,42.349506,102.33192,94.752174,63.477425,691.1555
75,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.210445,31.388203,103.37027,90.817116,62.55388,484.9947
76,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.846637,84.46819,20.775438,84.74132,58.81705,491.46338
77,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.882928,138.20192,32.632298,92.20315,40.045113,691.1555
78,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.882928,113.09884,4.12142,76.49735,38.07057,484.9947
79,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,40.203594,25.680391,84.74132,61.265385,491.46338
80,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.132858,49.66135,17.938759,92.20315,42.49346,691.1555
81,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.132858,29.766544,9.026385,76.49735,40.51892,484.9947
82,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,70.44735,52.852333,114.56168,99.80487,80.50968,491.46338
83,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.210445,42.349506,102.33192,94.752174,63.477425,691.1555
84,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,59.210445,31.388203,103.37027,90.817116,62.55388,484.9947
85,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.846637,84.46819,20.775438,84.74132,58.81705,491.46338
86,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.882928,138.20192,32.632298,92.20315,40.045113,691.1555
87,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,4.882928,113.09884,4.12142,76.49735,38.07057,484.9947
88,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.096566,40.203594,25.680391,84.74132,61.265385,491.46338
89,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.132858,49.66135,17.938759,92.20315,42.49346,691.1555
90,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,14.132858,29.766544,9.026385,76.49735,40.51892,484.9947
91,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,90.09255,53.6153,138.2662,99.80487,80.50968,491.46338
92,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,79.61863,39.66318,109.43573,94.752174,63.477425,691.1555
93,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,79.61863,28.865374,115.69662,90.817116,62.55388,484.9947
94,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,8.5010605,82.35344,71.72828,84.74132,58.81705,491.46338
95,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,8.537353,135.82137,66.98445,92.20315,40.045113,691.1555
96,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,8.537353,110.110985,43.696075,76.49735,38.07057,484.9947
97,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,33.62945,40.804455,51.070602,84.74132,61.265385,491.46338
98,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,33.58501,48.853695,26.72828,92.20315,42.49346,691.1555
99,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,33.58501,28.786198,23.038403,76.49735,40.51892,484.9947
100,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,79.77459,55.335056,125.286285,99.80487,80.50968,491.46338
101,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,69.350006,39.043682,96.45578,94.752174,63.477425,691.1555
102,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,69.350006,28.41409,102.71667,90.817116,62.55388,484.9947
103,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,10.049056,82.77258,58.74831,84.74132,58.81705,491.46338
104,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,10.134684,135.34227,54.00448,92.20315,40.045113,691.1555
105,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,10.134684,109.800064,30.716108,76.49735,38.07057,484.9947
106,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,35.17745,41.32146,38.09064,84.74132,61.265385,491.46338
107,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,35.182343,48.47245,13.748313,92.20315,42.49346,691.1555
108,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,35.182343,28.57315,10.05844,76.49735,40.51892,484.9947
109,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,79.77459,60.110264,125.286285,99.80487,80.50968,491.46338
110,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,69.350006,42.872887,96.45578,94.752174,63.477425,691.1555
111,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,spherical,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,moderate,69.350006,33.189285,102.71667,90.817116,62.55388,484.9947
112,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,rod,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,10.049056,86.691536,58.74831,84.74132,58.81705,491.46338
113,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,rod,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,10.134684,138.48021,54.00448,92.20315,40.045113,691.1555
114,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,rod,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,10.134684,113.71902,30.716108,76.49735,38.07057,484.9947
115,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,Polyhedral,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,35.17745,45.939777,38.09064,84.74132,61.265385,491.46338
116,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,Polyhedral,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,35.182343,52.094593,13.748313,92.20315,42.49346,691.1555
117,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,Polyhedral,Green synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,,strong,35.182343,33.19146,10.05844,76.49735,40.51892,484.9947
